Nama,Rating,Location,Entrance Fee,Foto
Pabrik Kata-Kata Joger,4.5,"Jl. Raya Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 803.061",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/108.jpg
Monumen Bajra Sandhi,4.6,"Jl. Raya Puputan No.14.02, Panjer, Denpasar Selatan, Kota Denpasar, Bali 8023.04.0",25000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/109.jpg
Desa Wisata Penglipuran,4.8,"Jl. Desa Wisata Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/110.jpg
Pantai Angel's Billabong,4.6,"Sakti, Kec. Nusa Penida, Kabupaten Klungkung, Bali",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/111.jpg
Pantai Atuh,4.7,"Br. Pelilit, desa Pejukutan, Kecamatan Nusa Penida, Kabupaten. Klungkung – Bali",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/112.jpg
Pantai Canggu,4.4,"Desa Canggu, Kecamatan Kuta Utara, Kabupaten Badung",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/113.jpg
Pantai Crystal Bay,4.4,"Desa Sakti, Kec. Penida, Kabupaten Klungkung",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/114.jpg
Pantai Diamond,4.8,"Pejukutan, Kec. Nusa Penida, Kabupaten Klungkung, Bali",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/115.jpg
Pantai Double Six,4.6,"Legian, Jalan Double Six, Kelurahan Seminyak, Kecamatan Kuta, Badung",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/116.jpg
Pantai Dreamland,4.5,"Jl. Raya Pecatu Bukit Jimbaran Bukit Peninsula, Kuta 803.063.0 Indonesia",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/117.jpg
Pantai Kelingking,4.5,"Bunga Mekar, Kec. Nusa Penida, Kabupaten Klungkung, Bali",5000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/118.jpg
Pantai Melasti,4.8,"Bali, Kabupaten Badung, Kec. Kuta Sel., Ungasan",8000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/119.jpg
Pantai Nusa Dua,4.6,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/120.jpg
Pantai Padang Padang,4.4,"Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",5000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/121.jpg
Pantai Pandawa,4.6,"Desa Kutuh, Kecamatan Kuta Selatan, Kabupaten Badung",8000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/122.jpg
Pura Puseh Batuan,4.5,"Jl. Raya Batuan, Batuan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/123.jpg
Pantai Seminyak,4.5,"Seminyak, Kec. Kuta, Kabupaten Badung, Bali",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/124.jpg
Pantai Waterblow,4.4,"Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 803.063.0",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/125.jpg
Pasar Seni Tradisional Ubud,4.3,"Jl. Raya Ubud No.35, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/126.jpg
"Besakih Great Temple
",4.5,"Besakih, Kec. Rendang, Kabupaten Karangasem, Bali 80863",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/127.jpg
Candi Tebing Gunung Kawi Sebatu,4.8,"Br penaka, Tampaksiring, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/128.jpg
Pura Kehen,4.6,"Jl. Sriwijaya No.8, Cempaga, Kec. Bangli, Kabupaten Bangli, Bali 80613.0",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/129.jpg
Pura Lempuyang,4.5,"Desa Lempuyang, Seraya Bar., Kec. Karangasem, Kabupaten Karangasem, Bali 80852",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/130.jpg
Pura Luhur Batukaru,4.8,"Jl. Penatahan - Wongayagede, Wongaya Gede, Kec. Penebel, Kabupaten Tabanan, Bali 85125",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/131.jpg
Pura Saraswati,5,"Jl. Kajeng, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/132.jpg
Pura Taman Ayun,4.6,"Jl. Ayodya No.10, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 803.51",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/133.jpg
Pura Tirta Empul,4.6,"Jl. Tirta, Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/134.jpg
Watersport Tanjung Benoa Bali,4.4,"Jl. Segara Lor No.15, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 803.061",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/135.jpg
"Tari Barong dan Keris
",4.5,"Jl. Raya Batubulan No.295X, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",100000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/136.jpg
Kecak uluwatu,4.7,"Kawasan parkir Pura Uluwatu, Jl. Uluwatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 803.061",140000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/137.jpg
Teras Sawah Tegalalang,4.4,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/138.jpg
Tirta Gangga,4.6,"Jalan Raya Abang Desa Adat, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852",25000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/139.jpg
Waterbom Bali,4.7,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 803.061",535000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/140.jpg
Alas Harum Agro Tourism,4.5,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/141.jpg
Satria Agrowisata 2,4.4,"Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",500000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/141.jpgg
